안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
52534,1,1,정남면 보통리 25-2 일원,,경기도 화성시 정남면 보통리 25-2 일원,37.19422079,126.977236,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
52533,1,1,정남면 귀래리 100-1 일원,,경기도 화성시 정남면 귀래리 100-1 일원,37.1371424,127.0017903,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55857,1,1,장안면 수촌리 1470-1,경기도 화성시 장안면 장안공단2길 26-17,경기도 화성시 장안면 수촌리 1470-1번지,37.10547803,126.8484661,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55856,1,1,장안면 사랑리 2-4,,경기도 화성시 장안면 사랑리 2-4,37.07786832,126.8342175,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55852,1,1,우정읍 조암리 391-14,,경기도 화성시 우정읍 조암리 391-14,37.08970153,126.8176687,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55868,1,1,오산동 1060,경기도 화성시 동탄광역환승로 63,경기도 화성시 오산동 971번지 동탄역 반도유보라 아이비파크 7.0,37.202691,127.086981,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55866,1,1,오산동 1060,경기도 화성시 동탄광역환승로 63,경기도 화성시 오산동 971번지 동탄역 반도유보라 아이비파크 7.0,37.199769,127.090072,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55867,1,1,오산동 1060,경기도 화성시 동탄광역환승로 63,경기도 화성시 오산동 971번지 동탄역 반도유보라 아이비파크 7.0,37.199155,127.085561,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55869,1,1,오산동 1060,경기도 화성시 동탄광역환승로 63,경기도 화성시 오산동 971번지 동탄역 반도유보라 아이비파크 7.0,37.196396,127.088977,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55653,1,1,영천동 782,,경기도 화성시 영천동 782,37.20369188,127.1177455,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55652,1,1,영천동 670-2,경기도 화성시 동탄순환대로29길 38,경기도 화성시 영천동 670-2번지,37.20538721,127.1064721,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55851,1,1,송산면 사강리 557-1,,경기도 화성시 송산면 사강리 557-1,37.21701341,126.7306742,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
52532,1,1,송산동 97-82일원,경기도 화성시 효행로 843,경기도 화성시 송산동 224번지,37.20610679,127.0216491,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55651,1,1,석우동 63,,경기도 화성시 석우동 63,37.20632727,127.0787506,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55650,1,1,석우동 45 일원,,경기도 화성시 석우동 45 일원,37.21396561,127.0824986,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54909,1,1,석우동 4 일원,,경기도 화성시 석우동 4 일원,37.22413328,127.0763347,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54908,1,1,석우동 29-3 일원,,경기도 화성시 석우동 29-3 일원,37.22046464,127.0785845,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55845,1,1,서신면 전곡리 920,,경기도 화성시 서신면 전곡리 920,37.185071,126.652181,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55844,1,1,서신면 전곡리 867,,경기도 화성시 서신면 전곡리 867,37.186775,126.653816,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55876,1,1,서신면 전곡리 800,경기도 화성시 전곡항로 32번길,경기도 화성시 서신면 전곡리 800,37.188051,126.654983,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55843,1,1,서신면 전곡리 1052,,경기도 화성시 서신면 전곡리 1052,37.188947,126.655955,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55870,1,1,송동 727,경기도 화성시 동탄대로 182,경기도 화성시 산척동 717-5번지,37.172382,127.102265,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55871,1,1,송동 727,경기도 화성시 동탄대로 182,경기도 화성시 산척동 717-5번지,37.166458,127.101619,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55872,1,1,송동 769,경기도 화성시 동탄대로 182,경기도 화성시 산척동 717-5번지,37.168867,127.112269,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55873,1,1,송동 727,경기도 화성시 동탄대로 182,경기도 화성시 산척동 717-5번지,37.167705,127.099544,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55874,1,1,송동 727,경기도 화성시 동탄대로 182,경기도 화성시 산척동 717-5번지,37.170112,127.102621,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55875,1,1,송동 767,경기도 화성시 동탄대로 182,경기도 화성시 산척동 717-5번지,37.170252,127.108011,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
52535,1,1,봉담읍 상리 22-10 일원,,경기도 화성시 봉담읍 상리 22-10 일원,37.21957654,126.9512575,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55847,1,1,봉담읍 상리 22-10 일원,,경기도 화성시 봉담읍 상리 22-10 일원,37.21957654,126.9512575,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55846,1,1,봉담읍 동화리 573 일원,,경기도 화성시 봉담읍 동화리 573 일원,37.21449672,126.9561279,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54907,1,1,병점동 865 일원,,경기도 화성시 병점동 865 일원,37.20499182,127.0469154,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54906,1,1,병점동 420-1 일원,,경기도 화성시 병점동 420-1 일원,37.20174227,127.0372489,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54895,1,1,동탄면 방교리 764 일원,,경기도 화성시 방교동 764 일원,37.18027944,127.0900531,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
42929,1,1,동탄면 방교리 763 일원,경기도 화성시 동탄기흥로247번길 19-8,경기도 화성시 방교동 763번지,37.18166704,127.0900547,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54905,1,1,반월동 875 일원,,경기도 화성시 반월동 875 일원,37.22227186,127.0516352,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54904,1,1,반월동 184-3,,경기도 화성시 반월동 184-3,37.23263164,127.056555,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54902,1,1,반송동 59일원,,경기도 화성시 반송동 59일원,37.20393926,127.0635525,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54903,1,1,반송동 59일원,,경기도 화성시 반송동 59일원,37.20393926,127.0635525,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54901,1,1,반송동 198-1 일원,,경기도 화성시 반송동 198-1 일원,37.18980728,127.0703662,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54900,1,1,반송동 138 일원,,경기도 화성시 반송동 138 일원,37.19669062,127.0714198,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54899,1,1,반송동 12 일원,경기도 화성시 동탄반송3길 51,경기도 화성시 반송동 12번지,37.2103803,127.0661937,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54896,1,1,반송동 108 일원,,경기도 화성시 반송동 108 일원,37.19999383,127.0773926,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54897,1,1,반송동 108 일원,,경기도 화성시 반송동 108 일원,37.19999383,127.0773926,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
54898,1,1,반송동 108 일원,,경기도 화성시 반송동 108 일원,37.19999383,127.0773926,1,Y,N,N,,2017,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55865,1,1,매송면 원평리 579,경기도 화성시 매송면 화성로 2407-15,경기도 화성시 매송면 원평리 50-13번지,37.248919,126.929523,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55864,1,1,마도면 쌍송리 673 일원,경기도 화성시 마도공단로4길,경기도 화성시 마도면 쌍송리 673 일원,37.181337,126.790019,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55863,1,1,남양읍 남양리 2060 일원,경기도 화성시 남양읍 역골동로 20-16,경기도 화성시 남양읍 남양리 2067-6번지,37.202526,126.829501,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
55862,1,1,남양읍 남양리 2038 일원,경기도 화성시 남양읍 역골중앙로41번길,경기도 화성시 남양읍 남양리 2038 일원,37.205583,126.829732,1,Y,N,N,,2019,2020-04-13,Y,화성시 공원관리과,031-5189-6626,2020-04-13
방245,1,5,황골마을 주변,경기도 하남시 대성로69번길 120,경기도 하남시 항동 67번지,37.5138515,127.1920338,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6644,2019-04-03
방237,1,5,명가 푸드 주변,,경기도 하남시 항동 101-4,37.5154081,127.1933951,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6636,2019-04-03
방098,1,5,학암동 남한산성 등산로 초입 주변,,경기도 하남시 학암동 5-6,37.4899884,127.1582893,3,N,N,N,경보등 + 경보음 + CCTV,2011,2018-06-30,Y,경기도 하남시청,031-790-6497,2019-04-03
방202,1,5,바롬새롬어린이집 주변(보호구역 - 바롬새롭어린이집),,경기도 하남시 하산곡동 557-3,37.5193737,127.2236979,3,N,N,N,경보등 + 경보음 + CCTV,2015,2018-06-30,Y,경기도 하남시청,031-790-6601,2019-04-03
방235,1,5,하남등기소 주변,,경기도 하남시 하산곡동 555-6,37.5220409,127.2235361,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6634,2019-04-03
방125,1,5,하산곡동 60-7 주변,,경기도 하남시 하산곡동 553,37.5253487,127.2229463,3,N,N,N,경보등 + 경보음 + CCTV,2013,2018-06-30,Y,경기도 하남시청,031-790-6524,2019-04-03
방150,1,5,대승칠판 주변,,경기도 하남시 하산곡동 526,37.5239075,127.2275349,3,N,N,N,경보등 + 경보음 + CCTV,2013,2018-06-30,Y,경기도 하남시청,031-790-6549,2019-04-03
방238,1,5,정심사 입구 주변,,경기도 하남시 하산곡동 522,37.525851,127.2288643,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6637,2019-04-03
방278,1,5,산곡초등학교 주변(보호구역 - 산곡초등학교),,경기도 하남시 하산곡동 518-3,37.5030476,127.2332514,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6677,2019-04-03
방024,1,5,굴다리 앞,경기도 하남시 산곡북로 27,경기도 하남시 하산곡동 422-3번지,37.502405,127.2300828,3,N,N,N,경보등 + 경보음 + CCTV,2010,2018-06-30,Y,경기도 하남시청,031-790-6423,2019-04-03
방194,1,5,싱싱유통 주변,,경기도 하남시 하산곡동 386-3,37.5044308,127.2308128,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6593,2019-04-03
방104,1,5,청담의원 부근 버스정류장 주변,경기도 하남시 산곡동로 31,경기도 하남시 하산곡동 339-4번지,37.5065487,127.2305025,3,N,N,N,경보등 + 경보음 + CCTV,2012,2018-06-30,Y,경기도 하남시청,031-790-6503,2019-04-03
방022,1,5,산곡한우마을 주변,경기도 하남시 산곡동로 104,경기도 하남시 하산곡동 311-9번지,37.5116827,127.2266386,3,N,N,N,경보등 + 경보음 + CCTV,2010,2018-06-30,Y,경기도 하남시청,031-790-6421,2019-04-03
방230,1,5,새능교회 입구 주변,,경기도 하남시 하산곡동 289-4,37.5110131,127.2281409,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6629,2019-04-03
방257,1,5,하남요양병원 주변 주택가 삼거리,,경기도 하남시 하산곡동 254-1,37.5125189,127.2275573,3,N,N,N,경보등 + 경보음 + CCTV,2017,2018-06-30,Y,경기도 하남시청,031-790-6656,2019-04-03
방222,1,5,군부대 앞 삼거리 주변,,경기도 하남시 하산곡동 209-5,37.5149313,127.2240015,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6621,2019-04-03
방117,1,5,신광전기 주변,경기도 하남시 검단남로 25,경기도 하남시 하산곡동 205-6번지,37.5171033,127.223646,3,N,N,N,경보등 + 경보음 + CCTV,2012,2018-06-30,Y,경기도 하남시청,031-790-6516,2019-04-03
방056,1,5,윈체 중부지사 주변,,경기도 하남시 하산곡동 129-7,37.5188523,127.2278704,3,N,N,N,경보등 + 경보음 + CCTV,2011,2018-06-30,Y,경기도 하남시청,031-790-6455,2019-04-03
방261,1,5,춘궁동 벌말번영회 주변,경기도 하남시 춘궁로37번길 46,경기도 하남시 하사창동 448,37.5134043,127.2010361,3,N,N,N,경보등 + 경보음 + CCTV,2017,2018-06-30,Y,경기도 하남시청,031-790-6660,2019-04-03
방180,1,5,마이편이점 주변,,경기도 하남시 하사창동 444,37.5154048,127.2008378,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6579,2019-04-03
방217,1,5,항동마을입구 삼거리,,경기도 하남시 하사창동 442-13,37.5164899,127.1984766,3,N,N,N,경보등 + 경보음 + CCTV,2015,2018-06-30,Y,경기도 하남시청,031-790-6616,2019-04-03
방218,1,5,하사창교 주변,,경기도 하남시 하사창동 442,37.5159582,127.1985883,3,N,N,N,경보등 + 경보음 + CCTV,2015,2018-06-30,Y,경기도 하남시청,031-790-6617,2019-04-03
방243,1,5,함지박 주변,,경기도 하남시 하사창동 428,37.5090738,127.2044516,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6642,2019-04-03
방097,1,5,한창농원 주변,,경기도 하남시 풍산동 445,37.5484608,127.1961498,3,N,N,N,경보등 + 경보음 + CCTV,2011,2018-06-30,Y,경기도 하남시청,031-790-6496,2019-04-03
방207,1,5,풍산동 굴량골 주변,,경기도 하남시 풍산동 423-1,37.5427045,127.1899228,3,N,N,N,경보등 + 경보음 + CCTV,2015,2018-06-30,Y,경기도 하남시청,031-790-6606,2019-04-03
방220,1,5,영락노인요양원 주변,경기도 하남시 안터로 29-7,경기도 하남시 풍산동 275번지,37.5467102,127.1865381,3,N,N,N,경보등 + 경보음 + CCTV,2015,2018-06-30,Y,경기도 하남시청,031-790-6619,2019-04-03
방272,1,5,청뜰어린이집 주변(보호구역 - 청뜰어린이집),,경기도 하남시 풍산동 254-4,37.5473466,127.1828394,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6671,2019-04-03
방136,1,5,전통찻집 흰구름 주변,,경기도 하남시 춘궁동 590,37.5223235,127.1903697,3,N,N,N,경보등 + 경보음 + CCTV,2013,2018-06-30,Y,경기도 하남시청,031-790-6535,2019-04-03
방192,1,5,대성슈퍼 주변,,경기도 하남시 춘궁동 569,37.5257669,127.1949826,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6591,2019-04-03
방280,1,5,푸른숲유치원 주변 (보호고역 - 푸른숲유치원),,경기도 하남시 춘궁동 564-15,37.5276841,127.1961414,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6679,2019-04-03
방225,1,5,고골사거리 주변,,경기도 하남시 춘궁동 556-4,37.5223216,127.197123,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6624,2019-04-03
방128,1,5,귀뚜라미보일러 주변,,경기도 하남시 춘궁동 555,37.5253222,127.1968933,3,N,N,N,경보등 + 경보음 + CCTV,2013,2018-06-30,Y,경기도 하남시청,031-790-6527,2019-04-03
방100,1,5,고골초등학교 정문 주변(보호구역 - 고골초등학교),경기도 하남시 대성로 93,경기도 하남시 춘궁동 414-2번지,37.5185473,127.1966156,3,N,N,N,경보등 + 경보음 + CCTV,2011,2018-06-30,Y,경기도 하남시청,031-790-6499,2019-04-03
방101,1,5,㈜청보농산 주변,경기도 하남시 대성로99번길 26,경기도 하남시 춘궁동 391-2번지,37.51954,127.1956227,3,N,N,N,경보등 + 경보음 + CCTV,2011,2018-06-30,Y,경기도 하남시청,031-790-6500,2019-04-03
방047,1,5,광주향교 부근 버스정류장 주변,,경기도 하남시 춘궁동 371-1,37.5217895,127.1974271,3,N,N,N,경보등 + 경보음 + CCTV,2010,2018-06-30,Y,경기도 하남시청,031-790-6446,2019-04-03
방190,1,5,춘궁동 행정복지센터 주변(보호구역 - 춘궁동노인복지회관),,경기도 하남시 춘궁동 329-4,37.5222369,127.1937857,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6589,2019-04-03
방234,1,5,주요목지점,,경기도 하남시 춘궁동 159-3,37.5282939,127.1978626,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6633,2019-04-03
방233,1,5,주요목지점,,경기도 하남시 춘궁동 146-2,37.528261,127.1959279,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6632,2019-04-03
방231,1,5,주요목지점,경기도 하남시 청뜰로 65-1,경기도 하남시 초일동 산2-1번지,37.5431006,127.184368,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6630,2019-04-03
방183,1,5,청뜰로58 주변,,경기도 하남시 초일동 산2-1,37.5431006,127.184368,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6582,2019-04-03
방224,1,5,항공부대 뒤 마을입구,,경기도 하남시 초일동 401,37.5338493,127.1831463,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6623,2019-04-03
방264,1,5,상화울 가게 주변,,경기도 하남시 초일동 398,37.5339833,127.1839499,3,N,N,N,경보등 + 경보음 + CCTV,2017,2018-06-30,Y,경기도 하남시청,031-790-6663,2019-04-03
방143,1,5,나래유통 앞 굴다리 주변,,경기도 하남시 초일동 173-3,37.5347619,127.187346,3,N,N,N,경보등 + 경보음 + CCTV,2013,2018-06-30,Y,경기도 하남시청,031-790-6542,2019-04-03
방198,1,5,하남위례교 주변,,경기도 하남시 초일동 151,37.5346518,127.1885903,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6597,2019-04-03
방242,1,5,군부대 앞 삼거리 주변,,경기도 하남시 초일동 110-10,37.5394617,127.183669,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6641,2019-04-03
방177,1,5,화평교회  주변,경기도 하남시 초이로99번길 47,경기도 하남시 초이동 99번지,37.5406544,127.1691209,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6576,2019-04-03
방244,1,5,샤인허브빌 주변,경기도 하남시 천호대로1358번길 134-20,경기도 하남시 초이동 9-1,37.5362927,127.1564505,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6643,2019-04-03
방241,1,5,대사골 입구 주변,,경기도 하남시 초이동 615,37.5374278,127.1565886,3,N,N,N,경보등 + 경보음 + CCTV,2016,2018-06-30,Y,경기도 하남시청,031-790-6640,2019-04-03
방164,1,5,주요목지점,,경기도 하남시 초이동 604-1,37.5261511,127.1671995,3,N,N,N,경보등 + 경보음 + CCTV,2013,2018-06-30,Y,경기도 하남시청,031-790-6563,2019-04-03
방197,1,5,GS25 주변,,경기도 하남시 초이동 433-4,37.5305942,127.1727302,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6596,2019-04-03
방102,1,5,대한노인회 주변,경기도 하남시 초이로 81-19,경기도 하남시 초이동 262-9,37.5384541,127.1703946,3,N,N,N,경보등 + 경보음 + CCTV,2011,2018-06-30,Y,경기도 하남시청,031-790-6501,2019-04-03
방219,1,5,초이동 주요도로,,경기도 하남시 초이동 260-14,37.5383168,127.1719217,3,N,N,N,경보등 + 경보음 + CCTV,2015,2018-06-30,Y,경기도 하남시청,031-790-6618,2019-04-03
방277,1,5,열린어린이집 주변(보호구역 - 열린어린이집),경기도 하남시 초광로 271,경기도 하남시 초이동 201-7번지,37.542817,127.175202,3,N,N,N,경보등 + 경보음 + CCTV,2015,2018-06-30,Y,경기도 하남시청,031-790-6676,2019-04-03
방276,1,5,아이킹어린이집 주변(보호구역 - 아이킹어린이집),경기도 하남시 초광로 271,경기도 하남시 초이동 201-7번지,37.542817,127.175202,3,N,N,N,경보등 + 경보음 + CCTV,2015,2018-06-30,Y,경기도 하남시청,031-790-6675,2019-04-03
방103,1,5,서부농협 초이지점 주변,,경기도 하남시 초이동 171-72,37.5446503,127.1722076,3,N,N,N,경보등 + 경보음 + CCTV,2011,2018-06-30,Y,경기도 하남시청,031-790-6502,2019-04-03
방015,1,5,맥시칸 양념통닭 주변,경기도 하남시 신장로48번길,경기도 하남시 천현동 624,37.5360149,127.2138697,3,N,N,N,경보등 + 경보음 + CCTV,2010,2018-06-30,Y,경기도 하남시청,031-790-6414,2019-04-03
방121,1,5,동부선린교회 형제의집 부근 회전교차로 주변,경기도 하남시 하남대로654번길 24,경기도 하남시 천현동 62-37번지,37.5317684,127.2203969,3,N,N,N,경보등 + 경보음 + CCTV,2012,2018-06-30,Y,경기도 하남시청,031-790-6520,2019-04-03
방014,1,5,교학종합광고기획 주변,경기도 하남시 신장로56번길,경기도 하남시 천현동 622,37.5352688,127.2128945,3,N,N,N,경보등 + 경보음 + CCTV,2010,2018-06-30,Y,경기도 하남시청,031-790-6413,2019-04-03
방187,1,5,현대홈타운 후문 주변,경기도 하남시 신장로76번길 82,경기도 하남시 천현동 621번지,37.5358732,127.2124776,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6586,2019-04-03
방054,1,1,꿈나무공원 내,경기도 하남시 신장로48번길 16-10,경기도 하남시 천현동 616-4,37.5352059,127.2128152,3,N,N,N,경보등 + 경보음 + CCTV,2010,2018-06-30,Y,경기도 하남시청,031-790-6453,2019-04-03
꿈나무-1,2,2,꿈나무 공중화장실내,경기도 하남시 천현동615,경기도 하남시 천현동 615,37.5354848,127.2130309,1,N,N,N,,2016,2018-08-16,Y,하남시청,031-790-6252,2019-04-03
방168,1,5,국도 43호선 노상주차장 부근,,경기도 하남시 천현동 585,37.5332119,127.2143709,3,N,N,N,경보등 + 경보음 + CCTV,2013,2018-06-30,Y,경기도 하남시청,031-790-6567,2019-04-03
방193,1,5,서울푸드축산할인매장 주변,,경기도 하남시 천현동 564,37.5338227,127.220369,3,N,N,N,경보등 + 경보음 + CCTV,2014,2018-06-30,Y,경기도 하남시청,031-790-6592,2019-04-03
방250,1,5,새별 어린이집 주변,경기도 하남시 하남대로622번안길 60,경기도 하남시 천현동 50번지,37.532547,127.2232502,3,N,N,N,경보등 + 경보음 + CCTV,2017,2018-06-30,Y,경기도 하남시청,031-790-6649,2019-04-03
방071,1,5,찬양터교회 주변,경기도 하남시 천현로 138,경기도 하남시 천현동 43-4번지,37.5347886,127.2242525,3,N,N,N,경보등 + 경보음 + CCTV,2011,2018-06-30,Y,경기도 하남시청,031-790-6470,2019-04-03
